Year,Region,Gender.Code,Education,rural_urban_class,source,measure1,measure2,attr,agr_by,overall_value,Ethnicity
1990,United States,All genders,666,small metro,National Vital Statistics System,YLL,absolute number,total,nation,1734933.06382359,"All, All Origins"
1990,United States,All genders,666,small metro,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",overall,nation,6911.58018392454,"All, All Origins"
1990,United States,All genders,666,small metro,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",total,nation,7803.2158881511,"All, All Origins"
1990,United States,All genders,666,small metro,National Vital Statistics System,YLL,"crude rate per 100,000",overall,nation,10675.4873381214,"All, All Origins"
1990,United States,All genders,666,small metro,National Vital Statistics System,YLL,"crude rate per 100,000",total,nation,12054.3031793224,"All, All Origins"
1990,United States,All genders,666,micropolitan,National Vital Statistics System,Deaths,absolute number,overall,nation,9780,"All, All Origins"
1990,United States,All genders,666,micropolitan,National Vital Statistics System,Deaths,absolute number,total,nation,11610,"All, All Origins"
1990,United States,All genders,666,micropolitan,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",overall,nation,39.994746571878,"All, All Origins"
1990,United States,All genders,666,micropolitan,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",total,nation,47.2527893592226,"All, All Origins"
1990,United States,All genders,666,micropolitan,National Vital Statistics System,Deaths,"crude rate per 100,000",overall,nation,65.5317391386503,"All, All Origins"
1990,United States,All genders,666,micropolitan,National Vital Statistics System,Deaths,"crude rate per 100,000",total,nation,77.7938130265572,"All, All Origins"
1990,United States,All genders,666,micropolitan,National Vital Statistics System,YLL,absolute number,overall,nation,203535.573610824,"All, All Origins"
1990,United States,All genders,666,micropolitan,National Vital Statistics System,YLL,absolute number,total,nation,232452.944110913,"All, All Origins"
1990,United States,All genders,666,micropolitan,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",overall,nation,836.36353936629,"All, All Origins"
1990,United States,All genders,666,micropolitan,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",total,nation,948.821163007168,"All, All Origins"
1990,United States,All genders,666,micropolitan,National Vital Statistics System,YLL,"crude rate per 100,000",overall,nation,1363.80778275052,"All, All Origins"
1990,United States,All genders,666,micropolitan,National Vital Statistics System,YLL,"crude rate per 100,000",total,nation,1557.57113450794,"All, All Origins"
1990,United States,All genders,666,All,National Vital Statistics System,Deaths,absolute number,overall,nation,2060448,"All, All Origins"
1990,United States,All genders,666,All,National Vital Statistics System,Deaths,absolute number,total,nation,2377989,"All, All Origins"
1990,United States,All genders,666,All,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",overall,nation,900.52136582058,"All, All Origins"
1990,United States,All genders,666,All,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",total,nation,1039.68347186743,"All, All Origins"
1990,United States,All genders,666,All,National Vital Statistics System,Deaths,"crude rate per 100,000",overall,nation,1299.518264211,"All, All Origins"
1990,United States,All genders,666,All,National Vital Statistics System,Deaths,"crude rate per 100,000",total,nation,1499.7904036369,"All, All Origins"
1990,United States,All genders,666,All,National Vital Statistics System,YLL,absolute number,overall,nation,45392480.8529515,"All, All Origins"
1990,United States,All genders,666,All,National Vital Statistics System,YLL,absolute number,total,nation,49745841.2053604,"All, All Origins"
1990,United States,All genders,666,All,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",overall,nation,19189.8477685356,"All, All Origins"
1990,United States,All genders,666,All,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",total,nation,21188.2336399831,"All, All Origins"
1990,United States,All genders,666,All,National Vital Statistics System,YLL,"crude rate per 100,000",overall,nation,28628.89911624,"All, All Origins"
1990,United States,All genders,666,All,National Vital Statistics System,YLL,"crude rate per 100,000",total,nation,31374.5502021434,"All, All Origins"
1990,United States,All genders,666,large central metro,National Vital Statistics System,Deaths,absolute number,overall,nation,1094,American Indian or Alaska Native
1990,United States,All genders,666,large central metro,National Vital Statistics System,Deaths,absolute number,total,nation,1117,American Indian or Alaska Native
1990,United States,All genders,666,large central metro,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",overall,nation,525.479741284742,American Indian or Alaska Native
1990,United States,All genders,666,large central metro,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",total,nation,589.320403894857,American Indian or Alaska Native
1990,United States,All genders,666,large central metro,National Vital Statistics System,Deaths,"crude rate per 100,000",overall,nation,491.979475371795,American Indian or Alaska Native
